community,parish,sub_county,source_id,repair_date,population_served,well_depth,static_water_depth,pump_installation_depth,well_yield_(m^3/hr)
Kyamuwooya ,KASOZI,Makulubita,1153,2022-06-30,205,72.24,17.98,33.53,12
Namatogonya ,KAKABALA,Butuntumula,1129,2022-05-05,204,55.4,16.1,24.3,12
Tebalyala ,BWEYEYO,Luwero,1155,2022-07-07,113,28.04,10.67,18.29,10.92
Kyampologoma ,MABUYE,Kamira,886,2022-07-06,772,59.74,25.6,36.58,0
Bweyeyo,BWEYEYO,Luwero,1133,2022-07-07,313,60.38,17.57,100,86.52
Katikamu Kasenene,KATIKAMU,Wobulenzi Tc,1160,2022-07-13,"2,079",31.09,15.54,27.43,6.78
Kangave ,KANGAVE,Makulubita,1159,2022-07-13,448,74.37,24.38,54.86,7.8
Kikandwa,KASWA,Kamira,1157,2022-07-06,326,60.96,26.21,54.86,7.8
Bukajja ,LUNYOLYA,Kalagala,1156,2022-07-27,250,27.43,6.1,21.34,0
Katabona ,KIBENGO,Kikyusa,1161,2022-07-28,60,90.22,26.82,54.86,0
Bukiibi,KATAGWE,Kamira,1158,2022-07-28,515,51.82,29.87,42.67,0
Bugabo,MABUYE,Kamira,1184,2022-08-15,69,49.68,27.43,36.58,0
Wesune,NSAVU,Makulubita,1185,2022-08-16,77,73.15,29.57,51.82,0
Mugogo,MAKULUBITA,Makulubita,1187,2022-09-01,141,36.58,16.76,24.38,0
Mugogo,MAKULUBITA,Makulubita,1186,2022-09-01,205,59.13,18.29,30.48,0
Kalanamu ,KALANAMU,Kalagala,1190,2022-09-28,200,35.36,16.46,24.38,0
Busaakwa,KAYINDU,Kalagala,1192,2022-09-29,206,87.78,16.46,33.53,0
Degeya Central ,DDEGEYA,Kalagala,1191,2022-09-29,649,66.14,21.34,33.53,0
Lutete - Bamunanika,KYAMPISI,Bamunanika,1188,2022-10-06,290,25.91,9.14,21.34,12
Namwatulira ,DDEGEYA,Kalagala,1189,2022-10-06,629,26.21,7.92,18.29,0.2
Kayindu A,KAYINDU,Kalagala,1193,2022-09-28,820,51.21,13.72,39.62,
Makulubita A,MAKULUBITA,Makulubita,1195,2022-10-14,499,55.17,15.85,27.43,10.02
Namayamba - Luwero,NSAVU,Makulubita,713,2022-10-13,423,39.62,27.43,30.48,9.24
Buligwe,KAGOGO,Makulubita,1196,2022-10-14,333,91.44,12.5,39.62,10.92
Namayamba - Luwero,NSAVU,Makulubita,714,2022-10-13,512,41.15,28.35,30.48,10.92
Saagala ,BUSOKE,Kalagala,1199,2022-12-03,220,68.88,29.26,42.67,10.02
Nansaka,KYAWANGABI,Butuntumula,1197,2022-11-30,123,57.3,28.35,42.67,8.4
Kiiya ,NGOGOLO,Butuntumula,1198,2022-11-30,313,43.59,7.01,24.38,10.02
Namalimba ,KIBENGO,Kikyusa,1329,2022-12-23,420,68.28,18.29,45.72,8.4
Bowa,KAGOGO,Makulubita,1200,2022-12-21,397,45.11,16.46,24.38,10.92
Bugungu ,WALULEETA,Makulubita,1330,2022-12-30,142,61.87,15.24,42.67,8.4
Namyeso,KAGOGO,Makulubita,1331,2022-12-30,533,39.62,18.29,3.35,8.4
Bowa,KAGOGO,Makulubita,771,2022-12-21,551,51.82,30.18,45.72,9.24
Nakibengo,KALANAMU,Kalagala,1332,2022-12-31,419,43.89,14.94,27.43,10.92
Butanza Lwannyonyi,KYALUGONDO,Katikamu,1333,2023-01-19,931,46.33,19.81,33.53,13.86
Nakibengo ,KALANAMU,Kalagala,1177,2023-02-01,300,54.56,29.26,33.53,496.2
Lukiizi,KALWANGA,Butuntumula,1071,2023-02-01,123,69.8,24.38,45.72,55.8
Kalungu ,KALANAMU,Kalagala,1175,2023-02-01,220,79.86,14.94,24.38,78
Nabitete ,BUBUUBI,Zirobwe,1178,2023-02-01,81,60.26,15.36,45.72,67.2
Bwetyaba ,WALULEETA,Makulubita,708,2023-02-27,307,66.14,29.57,5.18,12
Mugogo ,MAKULUBITA,Makulubita,1306,2023-02-24,102,36.58,15.85,27.43,12
Butanza Lwannyonyi,KYALUGONDO,Katikamu,1307,2023-02-24,503,65.23,23.47,36.58,12
Kisubi ,LUNYOLYA,Kalagala,1305,2023-02-23,380,35.66,17.68,27.43,
Kanyogoga-Kikyusa,KIZIBA,Kikyusa,1310,2023-03-17,450,46.02,20.73,33.53,15.66
Kanyike B ,MIGADDE,Katikamu,1311,2023-03-18,150,64.01,10.36,27.43,13.86
Kikoza,KYALUGONDO,Katikamu,1312,2023-03-18,332,45.72,17.37,30.48,10.92
Timba ,NGALONKALU,Zirobwe,1313,2023-03-18,665,28.96,15.24,24.38,8.4
Lukomera,MIGADDE,Katikamu,1308,2023-03-15,"2,578",37.19,23.47,36.58,5.7
Ngabo,KYALUGONDO,Katikamu,1316,2023-04-05,150,67.97,17.98,30.48,10.02
Koojo-proper ,MIGADDE,Katikamu,1314,2023-04-05,160,24.99,7.01,18.29,10.92
Bamugolodde LC1 ,BAMUGOLODDE,Butuntumula,834,2023-03-18,354,43.89,10.06,24.38,10.02
Sempa ,TWEYANZE,Katikamu,1317,2023-04-07,246,68.58,12.8,30.48,10.92
Gwaffu,BUKOLWA,Wobulenzi Tc,1383,2023-04-06,509,41.45,20.73,30.48,7.8
Kalanamu ,KALANAMU,Kalagala,1176,2023-02-01,380,74.71,16.67,24.38,180
Kigulu ,WOBULENZI EAST,Wobulenzi Tc,1429,2023-04-06,"4,384",31.09,19.81,27.43,7.8
Makonkonyigo ,KATAGWE,Kamira,1414a,2023-05-05,378,65.53,40.54,54.86,4.14
Kanyogoga-Kikyusa,KIZIBA,Kikyusa,1309,2023-03-17,180,38.4,17.37,33.53,13.86
Ngabo,KYALUGONDO,Katikamu,1455,2023-04-07,107,16.15,0,15.24,0
Kaswa ,MUSAALE,Katikamu,1303,2023-05-26,802,37.49,19.51,30.48,10.92
Bamugolodde LC1 ,BAMUGOLODDE,Butuntumula,1454,2023-05-27,150,42.37,0,39.62,0
Gulama,BUYUKI,Katikamu,1301,2023-05-27,171,74.07,29.57,39.62,10.92
Gulama,BUYUKI,Katikamu,1300,2023-05-27,310,57.91,14.33,30.48,12
Lukomera,MIGADDE,Katikamu,1302,2023-05-26,"2,172",47.85,19.81,33.53,9.24
Kawe,KYAMPOLOGOMA,Kikyusa,904,2023-06-03,285,64.01,29.26,39.62,12
Kikunyu ,KANGAVE,Makulubita,1476a,2023-06-03,640,,,,0.48
